country,year,Ecosystem Vitality (ECO),Environmental Health (HLT),Climate Change (PCC),EPI
Afghanistan,2014,21.5,17.6,13.7,18.2
Albania,2014,50.9,39.9,44.1,46.1
Algeria,2014,39.3,48.1,29.3,38.5
Angola,2014,36.6,19.8,35.2,31.9
Antigua and Barbuda,2014,52.4,65.6,47.1,54.4
Argentina,2014,41.2,52.9,47.1,45.9
Armenia,2014,47.1,39.5,39.3,42.9
Australia,2014,59.9,81.1,39.1,58.9
Austria,2014,77.9,66.2,57.3,68.8
Azerbaijan,2014,45.1,39.1,36.1,40.8
Bahamas,2014,54.1,67.7,42.7,54.3
Bahrain,2014,44.3,40.7,23.4,36.7
Bangladesh,2014,27.6,14.1,32.8,25.8
Barbados,2014,33.5,76.7,50.5,50.5
Belarus,2014,60.1,51.3,32.1,49.5
Belgium,2014,60.8,67.3,59.0,61.9
Belize,2014,55.9,41.8,36.5,46.5
Benin,2014,52.4,23.8,30.5,38.1
Bhutan,2014,56.7,19.0,19.6,36.5
Bolivia,2014,59.4,29.9,25.8,41.9
Bosnia and Herzegovina,2014,49.6,32.5,41.8,42.7
Botswana,2014,68.8,27.3,44.1,51.0
Brazil,2014,58.3,40.9,32.9,46.3
Brunei Darussalam,2014,51.0,62.1,43.0,51.4
Bulgaria,2014,70.6,40.7,51.7,57.4
Burkina Faso,2014,59.8,30.9,25.0,42.1
Burundi,2014,53.6,12.7,25.1,34.8
Cabo Verde,2014,26.3,54.2,45.0,39.8
Cambodia,2014,36.8,24.3,28.8,31.2
Cameroon,2014,46.4,17.2,38.6,36.4
Canada,2014,57.5,73.8,44.3,57.6
Central African Republic,2014,60.6,12.5,45.6,44.1
Chad,2014,52.7,23.6,14.2,33.9
Chile,2014,53.7,45.3,37.0,46.6
China,2014,34.2,26.5,26.0,29.8
Colombia,2014,53.5,43.9,34.2,45.3
Comoros,2014,49.6,43.5,36.5,44.1
Costa Rica,2014,63.3,51.8,46.1,55.3
Cote d'Ivoire,2014,39.2,30.1,33.4,35.1
Croatia,2014,69.6,47.4,47.5,57.4
Cuba,2014,52.4,50.5,46.1,50.0
Cyprus,2014,55.1,62.1,45.9,54.1
Czech Republic,2014,79.0,54.6,53.0,65.1
Dem. Rep. Congo,2014,49.2,12.6,29.5,33.5
Denmark,2014,63.4,74.1,69.9,68.0
Djibouti,2014,25.2,27.2,47.9,32.1
Dominica,2014,42.9,56.0,52.8,49.5
Dominican Republic,2014,58.9,41.0,40.3,48.8
Ecuador,2014,51.3,43.2,34.6,44.3
Egypt,2014,46.6,29.4,39.7,40.2
El Salvador,2014,45.9,28.2,61.1,46.0
Equatorial Guinea,2014,53.3,34.0,42.1,45.0
Eritrea,2014,27.8,23.6,36.6,29.3
Estonia,2014,75.7,62.2,37.3,60.8
Eswatini,2014,40.3,21.1,60.1,41.1
Ethiopia,2014,43.3,23.8,22.8,32.5
Fiji,2014,40.0,54.8,55.6,48.4
Finland,2014,69.8,83.7,61.3,70.7
France,2014,67.7,68.0,59.6,65.4
Gabon,2014,57.6,31.5,40.8,46.0
Gambia,2014,41.1,38.0,29.6,37.0
Georgia,2014,46.2,39.7,34.8,41.1
Germany,2014,80.4,70.8,54.4,70.2
Ghana,2014,46.3,29.8,22.7,35.1
Greece,2014,64.8,61.6,46.1,58.4
Grenada,2014,38.7,64.2,38.5,45.4
Guatemala,2014,42.7,22.6,34.7,35.3
Guinea,2014,52.0,29.7,28.7,39.4
Guinea-Bissau,2014,49.6,33.0,39.4,42.5
Guyana,2014,54.2,53.8,29.4,46.7
Haiti,2014,29.5,20.5,34.8,28.7
Honduras,2014,47.1,21.8,35.6,37.3
Hungary,2014,72.8,42.8,59.0,61.1
Iceland,2014,56.2,87.5,48.5,61.8
India,2014,28.0,11.6,26.4,23.4
Indonesia,2014,31.1,20.6,28.8,27.8
Iran,2014,45.9,40.1,37.1,41.8
Iraq,2014,26.8,31.9,13.0,23.9
Ireland,2014,60.3,77.0,55.6,63.0
Israel,2014,43.5,62.2,40.7,47.4
Italy,2014,57.8,61.1,47.5,55.5
Jamaica,2014,49.7,37.8,52.4,47.5
Japan,2014,56.2,65.1,52.2,57.2
Jordan,2014,35.5,44.9,33.2,37.2
Kazakhstan,2014,52.1,47.9,28.6,43.8
Kenya,2014,48.0,27.4,29.0,37.1
Kiribati,2014,47.5,45.7,42.6,45.4
Kuwait,2014,55.7,49.9,28.5,46.2
Kyrgyzstan,2014,36.3,32.0,17.5,29.8
Laos,2014,35.3,16.6,13.4,24.3
Latvia,2014,70.2,49.8,49.8,59.0
Lebanon,2014,33.5,44.6,19.3,32.0
Lesotho,2014,46.3,13.8,41.9,36.8
Liberia,2014,32.6,32.4,34.2,33.0
Lithuania,2014,70.2,53.6,48.4,59.5
Luxembourg,2014,82.6,71.0,55.8,71.7
Madagascar,2014,28.7,26.0,33.0,29.3
Malawi,2014,59.0,21.8,32.8,41.8
Malaysia,2014,33.0,38.9,30.2,33.7
Maldives,2014,40.5,46.2,19.4,35.3
Mali,2014,47.4,35.3,25.4,37.8
Malta,2014,54.9,69.0,66.1,62.2
Marshall Islands,2014,37.7,54.7,35.0,41.7
Mauritania,2014,38.8,46.1,30.5,38.1
Mauritius,2014,32.5,68.5,39.7,44.4
Mexico,2014,45.4,35.3,42.5,42.0
Micronesia,2014,29.4,55.7,41.7,40.5
Moldova,2014,44.7,37.9,45.6,43.3
Mongolia,2014,53.3,25.6,4.6,31.8
Montenegro,2014,48.2,44.6,51.3,48.2
Morocco,2014,34.2,42.3,36.5,36.9
Mozambique,2014,49.4,24.4,18.4,33.8
Myanmar,2014,31.8,15.4,34.5,28.5
Namibia,2014,59.3,25.5,36.8,44.1
Nepal,2014,47.9,13.4,24.4,32.4
Netherlands,2014,63.6,70.3,54.4,62.5
New Zealand,2014,50.0,81.2,44.6,56.2
Nicaragua,2014,58.7,37.5,34.8,46.2
Niger,2014,47.7,28.9,13.6,32.7
Nigeria,2014,39.4,18.4,36.9,33.2
North Macedonia,2014,54.6,33.2,54.2,49.1
Norway,2014,66.6,85.1,51.1,66.6
Oman,2014,47.1,49.3,16.3,38.4
Pakistan,2014,33.2,11.1,39.2,29.5
Panama,2014,56.4,51.8,31.3,47.7
Papua New Guinea,2014,38.9,36.9,46.2,40.5
Paraguay,2014,45.2,38.4,29.4,38.8
Peru,2014,53.1,37.2,31.5,42.6
Philippines,2014,34.1,26.8,32.4,31.7
Poland,2014,78.7,45.3,52.2,62.4
Portugal,2014,60.3,65.2,48.0,57.8
Qatar,2014,53.1,50.3,15.1,41.2
Republic of Congo,2014,56.5,16.9,38.8,40.7
Romania,2014,68.2,43.0,63.1,60.4
Russia,2014,48.4,51.3,40.5,46.8
Rwanda,2014,47.0,13.6,32.1,34.2
Saint Lucia,2014,45.4,63.8,41.3,49.0
Saint Vincent and the Grenadines,2014,49.7,62.9,49.9,53.4
Samoa,2014,36.4,57.0,33.9,41.1
Sao Tome and Principe,2014,36.6,35.6,30.4,34.4
Saudi Arabia,2014,38.7,38.4,20.0,33.0
Senegal,2014,47.5,40.6,24.9,39.0
Serbia,2014,56.0,39.1,68.1,55.4
Seychelles,2014,45.4,71.3,43.5,51.8
Sierra Leone,2014,42.2,29.6,26.9,34.6
Singapore,2014,57.3,56.4,25.5,46.5
Slovakia,2014,78.1,55.0,59.3,66.7
Slovenia,2014,68.2,55.1,59.9,62.4
Solomon Islands,2014,34.7,49.7,42.0,40.6
South Africa,2014,44.1,22.7,42.8,38.3
South Korea,2014,46.6,55.6,36.0,45.7
Spain,2014,66.8,63.5,52.8,61.8
Sri Lanka,2014,41.2,29.8,36.6,37.0
Sudan,2014,36.4,32.6,35.4,35.2
Suriname,2014,56.2,57.8,28.5,48.3
Sweden,2014,66.8,83.2,64.3,70.1
