country,Life expectancy at birth,Expected years of schooling,Mean years of schooling,GNI per capita (log),HDI
Afghanistan,62.879,10.70538475,2.514790058,7.196840666077173,0.462
Albania,76.833,14.48746967,10.12114431,9.635171836411192,0.789
Algeria,77.129,15.48787975,6.987443608,9.30368550506751,0.745
Andorra,83.552,12.7837801,11.61343956,10.901053146147053,0.884
Angola,61.929,12.1676,5.844291601,8.580691468750283,0.591
Antigua and Barbuda,79.236,15.51232774,10.54622968,9.840758878503465,0.826
Argentina,76.064,18.97950935,11.14408016,10.000975872560725,0.849
Armenia,73.372,14.40561008,11.33030033,9.641362743796826,0.786
Australia,83.579,21.0800209,12.72681999,10.804809513263914,0.946
Austria,82.412,16.36746025,12.30571367,10.942520793345212,0.926
Azerbaijan,73.488,12.71063042,10.55612992,9.617008384970747,0.76
Bahamas,74.358,11.89137971,12.73161494,10.390068264558765,0.82
Bahrain,79.246,16.29968071,11.04658985,10.79407980172216,0.888
Bangladesh,73.698,11.94633007,7.379059792,8.781267097920272,0.67
Barbados,77.706,16.53069367,9.89206168,9.603073965876996,0.809
Belarus,73.246,13.98153019,12.24122445,9.821464292905404,0.801
Belgium,82.293,18.94573975,12.52857789,10.89012562427066,0.942
Belize,70.962,12.42656994,8.847599983,9.13152249195325,0.7
Benin,59.954,10.30257988,3.137261725,8.133315275262289,0.504
Bhutan,72.229,13.06449041,5.835794662,9.27095312360452,0.681
Bolivia (Plurinational State of),64.928,15.02243817,9.827750206,8.985675945592574,0.698
Bosnia and Herzegovina,75.293,13.27705956,10.53631973,9.715434366291353,0.779
Botswana,65.913,11.42568016,10.42,9.605187869556275,0.708
Brazil,73.425,15.5788002,8.278307638,9.589864732814517,0.76
Brunei Darussalam,74.551,13.69861984,9.22,10.989447382865636,0.823
Bulgaria,71.528,13.86802959,11.41318035,10.162801158858903,0.799
Burkina Faso,59.766,8.091560364,2.318685239,7.6192320313461215,0.438
Burundi,61.977,9.966378953,3.305215598,6.5681144285822946,0.42
Cabo Verde,74.722,11.53066323,6.09003905,8.936046336208177,0.661
Cambodia,69.896,11.56094805,5.197100163,8.364301457983302,0.6
Cameroon,60.958,13.38097793,6.537401781,8.211067404663632,0.587
Canada,82.847,15.96065044,13.86876597,10.788171886989804,0.935
Central African Republic,54.477,7.285887393,3.9531639,6.767472426456841,0.387
Chad,52.997,8.185526568,2.282753488,7.236265547374944,0.394
Chile,79.519,16.76792908,11.11136804,10.103607930101159,0.86
China,78.587,15.21793605,8.106910446,9.799508719137823,0.788
Colombia,73.659,14.43749046,8.862859726,9.616733531977605,0.758
Comoros,63.68,13.03771042,6.209056832,8.089652848189866,0.586
Congo,63.053,12.41647044,8.250552585,7.973433836106226,0.593
Congo (Democratic Republic of the),59.743,9.579486913,7.206164799,6.984844374881868,0.481
Costa Rica,77.32,16.09200378,8.804059982,9.915830084644382,0.806
Croatia,79.236,15.57269955,12.32871821,10.443594463243738,0.878
Cuba,78.155,14.46930027,10.54807197,8.981360877876579,0.764
Cyprus,81.889,16.24308968,12.44017029,10.60005125338832,0.907
Czechia,78.129,16.3472805,12.91605342,10.595250445912525,0.895
Côte d'Ivoire,58.916,10.10165024,4.23697763,8.589773551736343,0.534
Denmark,81.882,18.77403069,12.96049023,11.035195374389827,0.952
Djibouti,62.859,8.028374362,3.889984156,8.491776564190513,0.515
Dominica,72.981,13.55048385,9.1863441,9.430909049546388,0.74
Dominican Republic,74.17,13.55698967,9.150526383,9.833776656902954,0.766
Ecuador,77.894,14.86483955,8.969750404,9.27736656254673,0.765
Egypt,70.159,12.91180992,9.84810224,9.422286772520215,0.728
El Salvador,71.475,11.9099355,7.150929928,9.09225181155186,0.674
Equatorial Guinea,61.19,12.13132742,8.281327014,9.274503123458679,0.65
Eritrea,66.604,7.318835512,5.09136442,7.579191709577182,0.493
Estonia,79.155,15.94297981,13.54843044,10.52276302872123,0.899
Eswatini (Kingdom of),56.36,14.92692756,5.73,9.03501688479363,0.61
Ethiopia,65.645,9.938743514,2.390854081,7.7701212111991325,0.492
Fiji,68.312,13.84869,10.37096977,9.326669802326759,0.729
Finland,82.351,19.22859001,12.92915501,10.810174283883843,0.942
France,83.229,15.98756027,11.68859246,10.765928948023594,0.91
Gabon,65.694,12.43426472,9.55,9.32315274901901,0.693
Gambia,62.906,8.977899686,4.512420177,7.644740776863413,0.495
Georgia,71.587,16.72682953,12.70217037,9.677341029311773,0.814
Germany,80.989,17.34334946,14.25594044,10.921254817122062,0.95
Ghana,63.945,11.58627987,6.432318439,8.590494123071794,0.602
Greece,80.614,20.02638054,11.40853024,10.353979147884331,0.893
Grenada,75.335,16.58226156,9.85796464,9.51732859408775,0.793
Guatemala,68.674,10.76720388,5.668648013,9.104581534998951,0.629
Guinea,58.985,10.20014763,2.35910296,7.784958274973142,0.471
Guinea-Bissau,59.861,10.5316806,3.673035,7.53894918630288,0.483
Guyana,65.989,13.02205765,8.627408726,10.48522567320867,0.742
Haiti,63.728,11.13756869,5.609468426,7.937986122061521,0.552
Honduras,70.728,9.961707633,7.296200514,8.570090146971578,0.624
"Hong Kong, China (SAR)",84.315,17.8495903,12.34776974,11.042689891387484,0.956
Hungary,74.958,15.07330036,12.24958992,10.439850522443644,0.851
Iceland,82.815,19.10672951,13.76716995,10.909406519953594,0.959
India,67.744,12.58370972,6.570700169,8.846572733959675,0.644
Indonesia,68.25,13.97573724,8.556509972,9.396451857907287,0.713
Iran (Islamic Republic of),74.556,14.11717033,10.74618321,9.600375248678217,0.78
Iraq,71.336,12.22275571,6.811878947,9.115135378109624,0.673
Ireland,82.716,19.12610054,11.6569568,11.379022733808084,0.95
Israel,82.601,15.02984047,13.44279092,10.682543063933082,0.915
Italy,84.057,16.65806007,10.7401104,10.698382270175104,0.906
Jamaica,70.629,12.45977059,9.248188719,9.179316341710146,0.706
Japan,84.82,15.45631981,12.66923046,10.683817982543953,0.92
Jordan,74.215,12.62659427,10.44668007,9.137210544252415,0.736
Kazakhstan,69.489,14.81626987,12.43337895,10.025120894684376,0.802
Kenya,62.055,11.38448201,7.686359882,8.477977472186486,0.601
Kiribati,67.661,11.80302,9.128581569,8.14334788983209,0.628
Korea (Republic of),84.024,16.50964928,12.61409234,10.736971601473948,0.929
Kuwait,80.264,15.6911416,7.441742908,10.946044022576837,0.847
Kyrgyzstan,70.484,12.99493027,11.96131992,8.472549747366592,0.701
Lao People's Democratic Republic,68.999,10.18749046,5.94697053,8.954781751468401,0.62
Latvia,75.927,16.55606079,13.33330305,10.376080982850205,0.879
Lebanon,74.416,12.05109224,8.602969077,9.418445212216414,0.723
Lesotho,53.036,11.07051125,7.545058784,7.904235709818387,0.521
Liberia,61.1,10.46585369,5.318104412,7.193249898452167,0.487
Libya,72.151,13.977117,7.77860643,9.890988138318786,0.746
Liechtenstein,84.656,15.46640015,12.351169,11.895962544630661,0.942
Lithuania,74.293,16.39982986,13.49810028,10.548789064600143,0.879
Luxembourg,82.591,14.19705009,12.9600811,11.271544574756513,0.927
Madagascar,65.23,9.213435879,4.592520237,7.288618852435542,0.487
Malawi,62.898,11.50487088,5.243740082,7.26715746481359,0.508
Malaysia,76.26,12.93247032,10.74828052,10.21447391723425,0.807
Maldives,80.839,12.17795095,7.762392544,9.84409800279783,0.762
Mali,59.417,7.037249603,1.626710057,7.622503680653149,0.41
