country,Biodiversity & Habitat (BDH),Forests (ECS),Fisheries (FSH),Air Pollution (APO),Agriculture (AGR),Water Resources (WRS),Air Quality (AIR),Sanitation & Drinking Water (H2O),Heavy Metals (HMT),Solid Waste (WMG),Climate Change Mitigation (CCH),EPI
Albania,50.3,62.4,15.8,74.5,50.4,39.6,36.4,71.0,55.2,16.4,59.4,52.2
Angola,41.5,49.2,37.6,73.2,41.0,15.8,19.9,22.9,33.8,26.1,49.4,40.1
Antigua and Barbuda,52.5,28.7,97.3,72.0,31.4,48.3,77.8,55.8,52.1,35.6,46.4,55.6
Argentina,34.7,48.9,38.5,80.5,81.4,46.8,47.6,73.4,76.7,26.6,41.4,47.0
Australia,55.2,42.3,48.1,95.9,65.3,87.2,80.9,99.5,90.3,45.7,46.6,63.1
Bangladesh,29.1,51.4,63.2,13.3,72.2,14.7,6.3,32.0,30.4,52.9,33.0,28.1
Barbados,12.2,45.4,80.4,70.0,47.9,49.0,85.8,59.1,69.5,46.0,56.7,53.1
Belgium,66.2,43.6,8.0,94.3,68.5,81.7,64.8,93.3,85.2,65.1,59.7,66.8
Belize,57.8,42.3,86.7,71.0,60.9,38.1,41.2,50.1,57.9,19.6,35.8,47.4
Benin,63.9,53.2,88.3,50.4,54.0,12.4,24.9,20.0,41.6,41.9,22.9,37.8
Bosnia and Herzegovina,45.8,76.2,89.9,75.2,52.3,23.9,22.9,78.3,52.4,17.7,45.9,46.0
Brazil,62.3,44.0,47.9,90.6,81.0,53.6,36.2,59.1,61.2,26.2,45.5,53.0
Brunei Darussalam,47.3,64.2,41.4,41.9,24.1,66.0,68.6,87.2,68.8,35.0,29.2,48.3
Bulgaria,69.2,72.1,20.9,92.3,74.2,66.1,31.9,79.0,40.8,47.3,45.7,56.2
Cambodia,56.9,37.6,31.8,14.5,64.6,13.4,18.1,40.0,32.3,36.3,16.7,31.2
Cameroon,45.2,58.4,81.6,71.7,50.4,12.7,16.9,23.0,31.7,26.8,39.4,38.6
Canada,52.9,47.6,33.1,90.8,72.3,77.7,72.4,95.5,100.0,36.0,48.2,61.1
