country,Electoral democracy index,Liberal democracy index,Participatory democracy index,Deliberative democracy index,Egalitarian democracy index
Afghanistan,0.08,0.014,0.012,0.024,0.028
Albania,0.51,0.398,0.305,0.256,0.367
Algeria,0.26,0.123,0.094,0.169,0.24
Angola,0.342,0.161,0.1,0.161,0.128
Argentina,0.721,0.558,0.462,0.443,0.544
Armenia,0.625,0.412,0.321,0.453,0.508
Australia,0.848,0.796,0.631,0.774,0.723
Austria,0.84,0.762,0.58,0.715,0.724
Azerbaijan,0.174,0.053,0.044,0.038,0.115
Bahrain,0.138,0.062,0.054,0.06,0.122
Bangladesh,0.225,0.097,0.106,0.144,0.114
Barbados,0.802,0.685,0.35,0.717,0.681
Belarus,0.16,0.036,0.054,0.029,0.228
Belgium,0.891,0.81,0.636,0.793,0.824
Benin,0.491,0.323,0.279,0.301,0.385
Bhutan,0.565,0.457,0.349,0.509,0.478
Bolivia,0.577,0.31,0.389,0.323,0.38
Bosnia and Herzegovina,0.507,0.336,0.303,0.344,0.357
Botswana,0.595,0.47,0.331,0.311,0.432
Brazil,0.799,0.712,0.55,0.735,0.569
Bulgaria,0.645,0.533,0.453,0.526,0.482
Burkina Faso,0.154,0.126,0.12,0.073,0.158
Burundi,0.178,0.062,0.104,0.056,0.087
Cambodia,0.184,0.048,0.063,0.079,0.083
Cameroon,0.277,0.126,0.108,0.111,0.192
Canada,0.841,0.744,0.583,0.655,0.63
Cape Verde,0.752,0.642,0.457,0.555,0.568
Central African Republic,0.299,0.097,0.132,0.137,0.128
Chad,0.202,0.054,0.119,0.112,0.074
Chile,0.845,0.786,0.595,0.773,0.625
China,0.073,0.037,0.031,0.065,0.08
Colombia,0.698,0.554,0.477,0.487,0.425
Comoros,0.276,0.122,0.195,0.127,0.223
Congo,0.255,0.119,0.196,0.157,0.14
Costa Rica,0.862,0.809,0.608,0.787,0.762
Cote d'Ivoire,0.429,0.248,0.288,0.343,0.269
Croatia,0.71,0.607,0.478,0.503,0.556
Cuba,0.178,0.056,0.055,0.098,0.238
Cyprus,0.777,0.653,0.492,0.644,0.687
Czechia,0.865,0.811,0.574,0.757,0.783
Democratic Republic of Congo,0.308,0.123,0.201,0.223,0.161
Denmark,0.917,0.885,0.704,0.871,0.88
Djibouti,0.25,0.118,0.144,0.144,0.195
Dominican Republic,0.71,0.495,0.464,0.633,0.399
East Timor,0.734,0.545,0.461,0.549,0.474
Ecuador,0.641,0.443,0.491,0.348,0.305
Egypt,0.186,0.123,0.079,0.105,0.107
El Salvador,0.335,0.09,0.199,0.138,0.132
Equatorial Guinea,0.176,0.049,0.047,0.046,0.11
Eritrea,0.069,0.009,0.008,0.022,0.1
Estonia,0.893,0.848,0.625,0.784,0.805
Eswatini,0.129,0.101,0.11,0.064,0.076
Ethiopia,0.26,0.093,0.131,0.186,0.163
Fiji,0.514,0.41,0.268,0.422,0.377
Finland,0.827,0.782,0.582,0.736,0.703
France,0.864,0.8,0.606,0.793,0.724
Gabon,0.227,0.151,0.208,0.194,0.214
Gambia,0.63,0.51,0.4,0.477,0.443
Georgia,0.48,0.327,0.282,0.384,0.374
Germany,0.825,0.778,0.59,0.786,0.762
Ghana,0.665,0.56,0.318,0.544,0.459
Greece,0.744,0.565,0.51,0.615,0.647
Guatemala,0.609,0.492,0.389,0.423,0.298
Guinea,0.159,0.075,0.105,0.076,0.139
Guinea-Bissau,0.279,0.14,0.136,0.136,0.184
Guyana,0.491,0.314,0.283,0.235,0.366
Haiti,0.237,0.101,0.119,0.194,0.075
Honduras,0.538,0.383,0.33,0.397,0.278
Hong Kong,0.158,0.142,0.052,0.055,0.213
Hungary,0.444,0.325,0.278,0.186,0.313
Iceland,0.842,0.757,0.605,0.759,0.764
India,0.381,0.281,0.246,0.279,0.201
Indonesia,0.496,0.332,0.323,0.422,0.3
Iran,0.166,0.088,0.042,0.108,0.152
Iraq,0.361,0.21,0.218,0.258,0.216
Ireland,0.895,0.83,0.626,0.814,0.783
Israel,0.702,0.597,0.461,0.542,0.559
Italy,0.784,0.687,0.605,0.673,0.693
Jamaica,0.798,0.676,0.531,0.613,0.65
Japan,0.822,0.737,0.526,0.732,0.752
Jordan,0.274,0.27,0.129,0.258,0.211
Kazakhstan,0.267,0.133,0.123,0.188,0.205
Kenya,0.557,0.437,0.358,0.457,0.343
Kuwait,0.198,0.179,0.065,0.197,0.198
Kyrgyzstan,0.321,0.185,0.174,0.171,0.241
Laos,0.135,0.117,0.113,0.056,0.125
Latvia,0.834,0.759,0.594,0.698,0.722
Lebanon,0.347,0.226,0.194,0.27,0.216
Lesotho,0.652,0.507,0.398,0.491,0.499
Liberia,0.61,0.398,0.329,0.494,0.4
Libya,0.195,0.109,0.087,0.234,0.129
Lithuania,0.798,0.732,0.578,0.649,0.696
Luxembourg,0.869,0.781,0.561,0.824,0.803
Madagascar,0.403,0.201,0.236,0.187,0.179
Malawi,0.563,0.472,0.366,0.445,0.326
Malaysia,0.513,0.359,0.309,0.368,0.376
Maldives,0.577,0.435,0.326,0.424,0.373
Mali,0.192,0.141,0.169,0.218,0.196
Malta,0.783,0.621,0.538,0.642,0.694
Mauritania,0.337,0.136,0.227,0.231,0.151
Mauritius,0.495,0.371,0.316,0.411,0.382
Mexico,0.496,0.246,0.342,0.266,0.276
Moldova,0.622,0.503,0.442,0.507,0.493
Mongolia,0.498,0.385,0.249,0.395,0.352
Montenegro,0.64,0.5,0.405,0.504,0.512
Morocco,0.261,0.252,0.153,0.279,0.204
Mozambique,0.31,0.189,0.209,0.178,0.2
Myanmar,0.08,0.015,0.046,0.036,0.057
Namibia,0.624,0.516,0.344,0.458,0.322
Nepal,0.669,0.52,0.431,0.428,0.433
Netherlands,0.823,0.766,0.554,0.732,0.728
New Zealand,0.868,0.811,0.618,0.71,0.745
Nicaragua,0.151,0.02,0.098,0.018,0.085
Niger,0.237,0.182,0.199,0.247,0.221
Nigeria,0.499,0.314,0.336,0.354,0.298
North Korea,0.084,0.014,0.044,0.009,0.09
North Macedonia,0.557,0.37,0.361,0.368,0.368
Norway,0.889,0.847,0.637,0.861,0.843
Oman,0.175,0.139,0.125,0.068,0.174
Pakistan,0.313,0.193,0.197,0.209,0.114
Panama,0.728,0.578,0.426,0.562,0.471
Papua New Guinea,0.462,0.38,0.277,0.246,0.247
Paraguay,0.581,0.39,0.343,0.315,0.252
Peru,0.642,0.501,0.43,0.36,0.38
Philippines,0.411,0.301,0.274,0.259,0.175
Poland,0.73,0.613,0.492,0.605,0.635
Portugal,0.836,0.754,0.561,0.735,0.689
Qatar,0.087,0.095,0.039,0.129,0.108
Romania,0.628,0.449,0.422,0.28,0.442
Russia,0.171,0.057,0.121,0.05,0.129
Rwanda,0.201,0.091,0.133,0.186,0.164
Sao Tome and Principe,0.632,0.519,0.392,0.416,0.448
Saudi Arabia,0.015,0.047,0.024,0.061,0.113
Senegal,0.605,0.461,0.387,0.529,0.443
Serbia,0.315,0.225,0.223,0.21,0.283
Seychelles,0.737,0.652,0.322,0.679,0.612
Sierra Leone,0.471,0.363,0.307,0.433,0.329
Singapore,0.418,0.348,0.116,0.344,0.36
Slovakia,0.746,0.59,0.521,0.37,0.582
Slovenia,0.725,0.63,0.549,0.618,0.635
Solomon Islands,0.688,0.536,0.424,0.39,0.433
Somalia,0.165,0.127,0.092,0.198,0.101
South Africa,0.734,0.648,0.463,0.647,0.512
South Korea,0.724,0.627,0.478,0.592,0.618
South Sudan,0.154,0.071,0.09,0.039,0.05
Spain,0.826,0.743,0.574,0.694,0.694
Sri Lanka,0.677,0.497,0.439,0.451,0.481
Sudan,0.137,0.03,0.07,0.033,0.061
Suriname,0.767,0.634,0.5,0.605,0.576
Sweden,0.881,0.846,0.629,0.809,0.794
Switzerland,0.882,0.843,0.785,0.852,0.82
Syria,0.143,0.054,0.065,0.042,0.077
Taiwan,0.804,0.707,0.626,0.693,0.699
Tajikistan,0.168,0.041,0.055,0.047,0.07
Tanzania,0.413,0.357,0.266,0.303,0.339
Thailand,0.41,0.306,0.193,0.223,0.237
Togo,0.35,0.167,0.207,0.293,0.256
Trinidad and Tobago,0.773,0.653,0.494,0.674,0.65
Tunisia,0.422,0.271,0.254,0.345,0.339
Turkey,0.289,0.109,0.168,0.086,0.203
Turkmenistan,0.149,0.034,0.033,0.024,0.088
Uganda,0.261,0.168,0.161,0.237,0.171
Ukraine,0.387,0.23,0.257,0.325,0.29
United Arab Emirates,0.104,0.077,0.031,0.082,0.126
United Kingdom,0.832,0.75,0.577,0.726,0.675
United States,0.843,0.751,0.602,0.745,0.612
Uruguay,0.846,0.768,0.702,0.716,0.681
Uzbekistan,0.214,0.074,0.08,0.149,0.15
Vanuatu,0.8,0.686,0.514,0.61,0.623
Venezuela,0.196,0.046,0.154,0.025,0.094
Vietnam,0.159,0.109,0.149,0.194,0.18
Yemen,0.126,0.047,0.071,0.045,0.033
Zambia,0.512,0.39,0.355,0.429,0.33
Zimbabwe,0.272,0.156,0.204,0.208,0.142
